Date,Search Trends
2017-04-19,1073
2017-04-20,1120
2017-04-21,1074
2017-04-22,1023
2017-04-23,1011
2017-04-24,1165
2017-04-25,1201
2017-04-26,1167
2017-04-27,1156
2017-04-28,1105
2017-04-29,1017
2017-04-30,989
2017-05-01,1047
2017-05-02,1179
2017-05-03,1169
2017-05-04,1144
2017-05-05,1069
2017-05-06,988
2017-05-07,1030
2017-05-08,1182
2017-05-09,1128
2017-05-10,1188
2017-05-11,1051
2017-05-12,970
2017-05-13,859
2017-05-14,833
2017-05-15,1101
2017-05-16,1076
2017-05-17,1140
2017-05-18,1105
2017-05-19,1062
2017-05-20,974
2017-05-21,944
2017-05-22,1064
2017-05-23,1065
2017-05-24,1181
2017-05-25,1186
2017-05-26,1109
2017-05-27,993
2017-05-28,993
2017-05-29,1143
2017-05-30,1087
2017-05-31,1197
2017-06-01,1184
2017-06-02,1146
2017-06-03,1024
2017-06-04,1045
2017-06-05,1182
2017-06-06,1165
2017-06-07,1184
2017-06-08,1173
2017-06-09,1120
2017-06-10,1071
2017-06-11,1093
2017-06-12,1234
2017-06-13,1217
2017-06-14,1229
2017-06-15,1231
2017-06-16,1151
2017-06-17,1054
2017-06-18,986
2017-06-19,1135
2017-06-20,1149
2017-06-21,1217
2017-06-22,1179
2017-06-23,1148
2017-06-24,1089
2017-06-25,1122
2017-06-26,1245
2017-06-27,1210
2017-06-28,1067
2017-06-29,1080
2017-06-30,1027
2017-07-01,977
2017-07-02,1038
2017-07-03,1171
2017-07-04,1207
2017-07-05,1138
2017-07-06,1150
2017-07-07,1155
2017-07-08,1091
2017-07-09,1111
2017-07-10,1219
2017-07-11,1190
2017-07-12,1195
2017-07-13,1169
2017-07-14,1132
2017-07-15,1101
2017-07-16,1062
2017-07-17,1214
2017-07-18,1213
2017-07-19,1187
2017-07-20,1052
2017-07-21,1117
2017-07-22,1052
2017-07-23,1079
2017-07-24,1196
2017-07-25,1200
2017-07-26,1127
2017-07-27,1108
2017-07-28,1074
2017-07-29,1056
2017-07-30,1060
2017-07-31,1218
2017-08-01,1200
2017-08-02,1141
2017-08-03,1161
2017-08-04,1109
2017-08-05,1029
2017-08-06,1015
2017-08-07,1326
