Date,Close,Search Trends
2017-02-01,188.37,1145.0
2017-02-02,188.81,1164.0
2017-02-03,190.08,1117.0
2017-02-06,191.56,1193.0
2017-02-07,191.37,1185.0
2017-02-08,191.97,1202.0
2017-02-09,191.8,1196.0
2017-02-10,195.28,1160.0
2017-02-13,195.11,1234.0
2017-02-14,197.08,1140.0
2017-02-15,199.92,1169.0
2017-02-16,197.89,1207.0
2017-02-17,198.39,1177.0
2017-02-21,198.47,1220.0
2017-02-22,200.25,1227.0
2017-02-23,199.82,1185.0
2017-02-24,207.36,1127.0
2017-02-27,208.23,1026.0
2017-02-28,210.82,1131.0
2017-03-01,211.2,1170.0
2017-03-02,209.075,1202.0
2017-03-03,212.6,1187.0
2017-03-07,211.09,1199.0
2017-03-08,209.31,1162.0
2017-03-09,209.39,1206.0
2017-03-10,211.01,1150.0
2017-03-13,212.87,1213.0
2017-03-14,212.25,1228.0
2017-03-16,211.61,1211.0
2017-03-17,211.35,1141.0
2017-03-20,216.0,1201.0
2017-03-21,206.0,1224.0
2017-03-22,209.64,1151.0
2017-03-23,208.18,1047.0
2017-03-24,210.85,1059.0
2017-03-27,211.64,1195.0
2017-03-28,211.42,1158.0
2017-03-29,216.25,1120.0
2017-03-30,212.33,1098.0
2017-03-31,211.5,1043.0
2017-04-03,220.095,1097.0
2017-04-04,215.83,1095.0
2017-04-05,215.51,1187.0
2017-04-06,217.67,1198.0
2017-04-07,219.29,1130.0
2017-04-10,218.99,1211.0
2017-04-11,220.13,1123.0
2017-04-12,216.035,975.0
2017-04-13,215.35,924.0
2017-04-17,220.45,1220.0
2017-04-18,217.83,1156.0
2017-04-19,218.72,1073.0
2017-04-20,223.305,1120.0
2017-04-21,223.98,1074.0
2017-04-24,225.93,1165.0
2017-04-25,230.59,1201.0
2017-04-26,228.22,1167.0
2017-04-27,230.16,1156.0
2017-04-28,228.75,1105.0
2017-05-01,235.03,1047.0
2017-05-02,234.64,1179.0
2017-05-03,234.98,1169.0
2017-05-04,249.0,1144.0
2017-05-05,275.37,1069.0
2017-05-08,275.1,1182.0
2017-05-09,281.45,1128.0
2017-05-10,282.06,1188.0
